id,winner,game_moves
74,1,d3c3c4e3c2b4c5b5f6b3d2e6a6e1b6c1d6e7a3a4a5c6d8e8f8c7c8b7d7f7a8a7b8a2a1b2b1g7d1f1h8g5e2h7h6f5h4
75,1,e6f4e3d6g5f6c6c5c7d7c3f5e8c8g6g4h4h6b6b5e7f8d8f7h5h3g3h7c4a6a7a8b8b3b7d2b4a5f3e2d3f2c2b2f1e1c1b1a1a2d1a3a4g1g2h1h2h8g7g8
76,1,e6f4c3c4d3d6f3c2f6e3f5e7f2e2f7c6c5b6c7d7e8f8d8c8e1g3h4h3g4h5d2f1g5g6h6d1b3a3g7h8h7g8g2h2h1g1c1b1b2a2a1a6a7a8b5b8b7a5a4b4
77,1,c4c3d3e3f2c5b6e2f6e6b4b5d2c2a6b3a3c1e1d1f4f5f3g6c6g3g4h5d6f1g5h6h4a5a4d7h3b7a8c7b8c8d8e8f8e7f7g7g8h8h7g2h1a7g1h2b1a2a1b2
78,1,f5d6c4d3c5f4d7f6f3e3g4c3f2e2f1b4e6e7e8f7c6c7b6a6d8c8a3h4g6h6f8a4h3g3g5h5d2b5h7c1d1e1b3c2a5b7a8b8a7g8h8g7g2g1a2b2a1b1h1h2
79,1,c4c3d3e3f5b4c2d2d1e2f4f3e1c1a5f1b3a3f2b5c5a6a4c6d6d7b6g1d8e8f8e7f6f7e6b7c8c7g3h3g5g4a8g6b8a7g8g7h8h7h6h5h4h2g2h1b1b2a2a1
80,1,e6f4d3c4c3d6f3c2f6e3f5e7d8c6c5d7c8b5c7f8e8f7a5b6a6g6b4b3g5a3a4g3g4h5h3g7h8h6g8h7h4a7h2b7f2e2f1d2d1e1c1g1h1g2a8b8a2b2b1a1
81,1,c4c3d3e3f6b4f3f5g5c6c5b6b5a6a5d6d7c7d8f4f2e2g4a4e1c8d2d1c1f1e7c2a3b3e6h4h3h5g3g1h1g2h2e8b2g6h6a2b7b1a1b8a7h7h8f7a8f8g7g8
82,1,e6f4f3d6g4f6c6c5g6d7e8c7b6d8c8f7f8e3c3f5f2h6e7d3b5e2c4b3e1a6g5h5h4d2h7g3h3g2h1h2g1h8c2b4a2b7a8d1f1b1c1a3a1b8b2g8a4a5g7a7
83,1,e6f4e3d6c6c5d3c3f5e7d7g5h6e2f3g4e8c4d2f7g6f2f6c8e1f8d8c7h4h5b4b3c2a4b5b6h3g3f1c1d1g2a3a2a6a5a1b2b1b7a7a8b8h7h8g7g8g1h2h1
84,1,f5d6c7f4c5f6d3c3f3e3d2c4f2c2e6e2e1d7c6b5e7f7b6c8a6b3d8e8d1a4a5b4g4h3h4f1g5g6f8h5h6h7c1b2a1a2a3b8a8b7a7g8g2b1g1g3h8h2g7h1
